EquipmentAssetNo,Status,StartedAt,EndedAt,StopCause,OrderNo,Sequence,Note
EQ-04,Running,2026-07-16 15:08,2026-07-16 17:00,,BLK-FG-0713,30,
EQ-01,Setup,2026-07-17 08:00,2026-07-17 08:29,,,,
EQ-01,Running,2026-07-17 08:29,2026-07-17 11:59,,BLK-SF-0713,10,
EQ-01,Idle,2026-07-17 11:59,2026-07-17 13:04,,,,
EQ-01,Running,2026-07-17 13:04,2026-07-17 16:45,,BLK-SF-0713,10,
EQ-01,Setup,2026-07-17 20:00,2026-07-17 20:21,,,,
EQ-01,Running,2026-07-17 20:21,2026-07-17 23:57,,BLK-SF-0713,10,
EQ-01,Idle,2026-07-17 23:57,2026-07-18 00:46,,,,
EQ-01,Running,2026-07-18 00:46,2026-07-18 04:30,,BLK-SF-0713,10,
EQ-05,Setup,2026-07-17 08:00,2026-07-17 08:48,,,,
EQ-05,Running,2026-07-17 08:48,2026-07-17 11:22,,BLK-SF-0713,10,
EQ-05,Idle,2026-07-17 11:22,2026-07-17 14:37,,,,
EQ-05,Running,2026-07-17 14:37,2026-07-17 15:20,,BLK-SF-0713,10,
EQ-05,Idle,2026-07-17 15:20,2026-07-17 17:00,,,,
EQ-02,Setup,2026-07-17 08:15,2026-07-17 08:34,,,,
EQ-02,Running,2026-07-17 08:34,2026-07-17 12:08,,BLK-FG-0713,10,
EQ-02,Idle,2026-07-17 12:08,2026-07-17 13:08,,,,
EQ-02,Running,2026-07-17 13:08,2026-07-17 16:30,,BLK-FG-0713,10,
EQ-03,Idle,2026-07-17 08:00,2026-07-17 09:54,,,,
EQ-03,Running,2026-07-17 09:54,2026-07-17 11:53,,BLK-FG-0713,20,
EQ-03,Idle,2026-07-17 11:53,2026-07-17 13:01,,,,
EQ-03,Running,2026-07-17 13:01,2026-07-17 15:52,,BLK-FG-0713,20,
EQ-03,Idle,2026-07-17 15:52,2026-07-17 17:00,,,,
EQ-04,Setup,2026-07-17 14:45,2026-07-17 15:09,,,,
EQ-04,Running,2026-07-17 15:09,2026-07-17 17:00,,BLK-FG-0713,30,
EQ-01,Setup,2026-07-18 08:00,2026-07-18 08:28,,,,
EQ-01,Running,2026-07-18 08:28,2026-07-18 12:09,,BLK-SF-0713,10,
EQ-01,Idle,2026-07-18 12:09,2026-07-18 12:50,,,,
EQ-01,Running,2026-07-18 12:50,2026-07-18 16:45,,BLK-SF-0713,10,
EQ-05,Setup,2026-07-18 08:00,2026-07-18 08:35,,,,
EQ-05,Running,2026-07-18 08:35,2026-07-18 11:30,,BLK-SF-0713,10,
EQ-05,Idle,2026-07-18 11:30,2026-07-18 14:36,,,,
EQ-05,Running,2026-07-18 14:36,2026-07-18 15:28,,BLK-SF-0713,10,
EQ-05,Idle,2026-07-18 15:28,2026-07-18 17:00,,,,
EQ-01,Setup,2026-07-20 08:00,2026-07-20 08:27,,,,
EQ-01,Running,2026-07-20 08:27,2026-07-20 11:57,,BLK-SF-0720,10,
EQ-01,Idle,2026-07-20 11:57,2026-07-20 13:04,,,,
EQ-01,Running,2026-07-20 13:04,2026-07-20 16:45,,BLK-SF-0720,10,
EQ-01,Setup,2026-07-20 20:00,2026-07-20 20:26,,,,
EQ-01,Running,2026-07-20 20:26,2026-07-21 00:00,,BLK-SF-0720,10,
EQ-01,Idle,2026-07-21 00:00,2026-07-21 00:36,,,,
EQ-01,Running,2026-07-21 00:36,2026-07-21 04:30,,BLK-SF-0720,10,
EQ-05,Setup,2026-07-20 08:00,2026-07-20 08:54,,,,
EQ-05,Running,2026-07-20 08:54,2026-07-20 11:39,,BLK-SF-0720,10,
EQ-05,Idle,2026-07-20 11:39,2026-07-20 14:36,,,,
EQ-05,Running,2026-07-20 14:36,2026-07-20 15:30,,BLK-SF-0720,10,
EQ-05,Idle,2026-07-20 15:30,2026-07-20 17:00,,,,
EQ-02,Setup,2026-07-20 08:15,2026-07-20 08:27,,,,
EQ-02,Running,2026-07-20 08:27,2026-07-20 11:51,,BLK-FG-0720,10,
EQ-02,Idle,2026-07-20 11:51,2026-07-20 12:54,,,,
EQ-02,Running,2026-07-20 12:54,2026-07-20 16:30,,BLK-FG-0720,10,
EQ-03,Idle,2026-07-20 08:00,2026-07-20 09:53,,,,
EQ-03,Running,2026-07-20 09:53,2026-07-20 12:06,,BLK-FG-0720,20,
EQ-03,Idle,2026-07-20 12:06,2026-07-20 13:10,,,,
EQ-03,Running,2026-07-20 13:10,2026-07-20 16:08,,BLK-FG-0720,20,
EQ-03,Idle,2026-07-20 16:08,2026-07-20 17:00,,,,
EQ-04,Setup,2026-07-20 14:45,2026-07-20 14:51,,,,
EQ-04,Running,2026-07-20 14:51,2026-07-20 17:00,,BLK-FG-0720,30,
EQ-01,Setup,2026-07-21 08:00,2026-07-21 08:34,,,,
EQ-01,Running,2026-07-21 08:34,2026-07-21 11:55,,BLK-SF-0720,10,
EQ-01,Idle,2026-07-21 11:55,2026-07-21 12:54,,,,
EQ-01,Running,2026-07-21 12:54,2026-07-21 16:45,,BLK-SF-0720,10,
EQ-01,Setup,2026-07-21 20:00,2026-07-21 20:21,,,,
EQ-01,Running,2026-07-21 20:21,2026-07-22 00:03,,BLK-SF-0720,10,
EQ-01,Idle,2026-07-22 00:03,2026-07-22 00:52,,,,
EQ-01,Running,2026-07-22 00:52,2026-07-22 04:30,,BLK-SF-0720,10,
EQ-05,Setup,2026-07-21 08:00,2026-07-21 08:47,,,,
EQ-05,Running,2026-07-21 08:47,2026-07-21 11:28,,BLK-SF-0720,10,
EQ-05,Idle,2026-07-21 11:28,2026-07-21 14:39,,,,
EQ-05,Running,2026-07-21 14:39,2026-07-21 15:21,,BLK-SF-0720,10,
EQ-05,Idle,2026-07-21 15:21,2026-07-21 17:00,,,,
EQ-02,Setup,2026-07-21 08:15,2026-07-21 08:32,,,,
EQ-02,Running,2026-07-21 08:32,2026-07-21 12:08,,BLK-FG-0720,10,
EQ-02,Idle,2026-07-21 12:08,2026-07-21 13:08,,,,
EQ-02,Running,2026-07-21 13:08,2026-07-21 16:30,,BLK-FG-0720,10,
EQ-03,Idle,2026-07-21 08:00,2026-07-21 09:54,,,,
EQ-03,Running,2026-07-21 09:54,2026-07-21 11:58,,BLK-FG-0720,20,
EQ-03,Idle,2026-07-21 11:58,2026-07-21 13:06,,,,
EQ-03,Running,2026-07-21 13:06,2026-07-21 15:54,,BLK-FG-0720,20,
EQ-03,Idle,2026-07-21 15:54,2026-07-21 17:00,,,,
EQ-04,Setup,2026-07-21 14:45,2026-07-21 14:58,,,,
EQ-04,Running,2026-07-21 14:58,2026-07-21 17:00,,BLK-FG-0720,30,
EQ-01,Setup,2026-07-22 08:00,2026-07-22 08:25,,,,
EQ-01,Running,2026-07-22 08:25,2026-07-22 11:55,,BLK-SF-0720,10,
EQ-01,Idle,2026-07-22 11:55,2026-07-22 13:05,,,,
EQ-01,Running,2026-07-22 13:05,2026-07-22 16:45,,BLK-SF-0720,10,
EQ-01,Setup,2026-07-22 20:00,2026-07-22 20:27,,,,
EQ-01,Running,2026-07-22 20:27,2026-07-23 00:09,,BLK-SF-0720,10,
EQ-01,Idle,2026-07-23 00:09,2026-07-23 00:45,,,,
EQ-01,Running,2026-07-23 00:45,2026-07-23 04:30,,BLK-SF-0720,10,
EQ-05,Setup,2026-07-22 08:00,2026-07-22 08:36,,,,
EQ-05,Running,2026-07-22 08:36,2026-07-22 11:34,,BLK-SF-0720,10,
EQ-05,Idle,2026-07-22 11:34,2026-07-22 14:25,,,,
EQ-05,Running,2026-07-22 14:25,2026-07-22 15:33,,BLK-SF-0720,10,
EQ-05,Idle,2026-07-22 15:33,2026-07-22 17:00,,,,
EQ-02,Setup,2026-07-22 08:15,2026-07-22 08:21,,,,
EQ-02,Running,2026-07-22 08:21,2026-07-22 11:51,,BLK-FG-0720,10,
EQ-02,Idle,2026-07-22 11:51,2026-07-22 12:59,,,,
EQ-02,Running,2026-07-22 12:59,2026-07-22 16:30,,BLK-FG-0720,10,
EQ-03,Idle,2026-07-22 08:00,2026-07-22 09:57,,,,
EQ-03,Running,2026-07-22 09:57,2026-07-22 11:57,,BLK-FG-0720,20,
EQ-03,Idle,2026-07-22 11:57,2026-07-22 13:00,,,,
EQ-03,Running,2026-07-22 13:00,2026-07-22 15:59,,BLK-FG-0720,20,
EQ-03,Idle,2026-07-22 15:59,2026-07-22 17:00,,,,
EQ-04,Setup,2026-07-22 14:45,2026-07-22 14:55,,,,
EQ-04,Running,2026-07-22 14:55,2026-07-22 17:00,,BLK-FG-0720,30,
EQ-01,Setup,2026-07-23 08:00,2026-07-23 08:35,,,,
EQ-01,Running,2026-07-23 08:35,2026-07-23 11:53,,BLK-SF-0720,10,
EQ-01,Idle,2026-07-23 11:53,2026-07-23 12:55,,,,
EQ-01,Running,2026-07-23 12:55,2026-07-23 16:45,,BLK-SF-0720,10,
EQ-01,Setup,2026-07-23 20:00,2026-07-23 20:27,,,,
EQ-01,Running,2026-07-23 20:27,2026-07-23 23:56,,BLK-SF-0720,10,
EQ-01,Idle,2026-07-23 23:56,2026-07-24 00:49,,,,
EQ-01,Running,2026-07-24 00:49,2026-07-24 04:30,,BLK-SF-0720,10,
EQ-05,Setup,2026-07-23 08:00,2026-07-23 08:38,,,,
EQ-05,Running,2026-07-23 08:38,2026-07-23 11:25,,BLK-SF-0720,10,
EQ-05,Idle,2026-07-23 11:25,2026-07-23 14:34,,,,
EQ-05,Running,2026-07-23 14:34,2026-07-23 15:28,,BLK-SF-0720,10,
EQ-05,Idle,2026-07-23 15:28,2026-07-23 17:00,,,,
EQ-02,Setup,2026-07-23 08:15,2026-07-23 08:29,,,,
EQ-02,Running,2026-07-23 08:29,2026-07-23 12:02,,BLK-FG-0720,10,
EQ-02,Idle,2026-07-23 12:02,2026-07-23 12:51,,,,
EQ-02,Running,2026-07-23 12:51,2026-07-23 16:30,,BLK-FG-0720,10,
EQ-03,Idle,2026-07-23 08:00,2026-07-23 10:00,,,,
EQ-03,Running,2026-07-23 10:00,2026-07-23 11:54,,BLK-FG-0720,20,
EQ-03,Idle,2026-07-23 11:54,2026-07-23 12:56,,,,
EQ-03,Running,2026-07-23 12:56,2026-07-23 16:03,,BLK-FG-0720,20,
EQ-03,Idle,2026-07-23 16:03,2026-07-23 17:00,,,,
EQ-04,Setup,2026-07-23 14:45,2026-07-23 15:00,,,,
EQ-04,Running,2026-07-23 15:00,2026-07-23 17:00,,BLK-FG-0720,30,
EQ-01,Setup,2026-07-24 08:00,2026-07-24 08:21,,,,
EQ-01,Running,2026-07-24 08:21,2026-07-24 12:07,,BLK-SF-0720,10,
EQ-01,Idle,2026-07-24 12:07,2026-07-24 12:58,,,,
EQ-01,Running,2026-07-24 12:58,2026-07-24 16:45,,BLK-SF-0720,10,
EQ-01,Setup,2026-07-24 20:00,2026-07-24 20:21,,,,
EQ-01,Running,2026-07-24 20:21,2026-07-25 00:09,,BLK-SF-0720,10,
EQ-01,Idle,2026-07-25 00:09,2026-07-25 00:46,,,,
EQ-01,Running,2026-07-25 00:46,2026-07-25 04:30,,BLK-SF-0720,10,
EQ-05,Setup,2026-07-24 08:00,2026-07-24 08:47,,,,
EQ-05,Running,2026-07-24 08:47,2026-07-24 11:21,,BLK-SF-0720,10,
EQ-05,Idle,2026-07-24 11:21,2026-07-24 14:40,,,,
EQ-05,Running,2026-07-24 14:40,2026-07-24 15:28,,BLK-SF-0720,10,
EQ-05,Idle,2026-07-24 15:28,2026-07-24 17:00,,,,
EQ-02,Setup,2026-07-24 08:15,2026-07-24 08:35,,,,
EQ-02,Running,2026-07-24 08:35,2026-07-24 12:10,,BLK-FG-0720,10,
EQ-02,Idle,2026-07-24 12:10,2026-07-24 12:51,,,,
EQ-02,Running,2026-07-24 12:51,2026-07-24 16:30,,BLK-FG-0720,10,
EQ-03,Idle,2026-07-24 08:00,2026-07-24 10:01,,,,
EQ-03,Running,2026-07-24 10:01,2026-07-24 11:52,,BLK-FG-0720,20,
EQ-03,Idle,2026-07-24 11:52,2026-07-24 13:05,,,,
EQ-03,Running,2026-07-24 13:05,2026-07-24 15:54,,BLK-FG-0720,20,
EQ-03,Idle,2026-07-24 15:54,2026-07-24 17:00,,,,
EQ-04,Setup,2026-07-24 14:45,2026-07-24 15:08,,,,
EQ-04,Running,2026-07-24 15:08,2026-07-24 17:00,,BLK-FG-0720,30,
EQ-01,Setup,2026-07-27 08:00,2026-07-27 08:21,,,,
EQ-01,Running,2026-07-27 08:21,2026-07-27 11:56,,BLK-SF-0727,10,
EQ-01,Idle,2026-07-27 11:56,2026-07-27 13:09,,,,
EQ-01,Running,2026-07-27 13:09,2026-07-27 16:45,,BLK-SF-0727,10,
EQ-01,Setup,2026-07-27 20:00,2026-07-27 20:11,,,,
EQ-01,Running,2026-07-27 20:11,2026-07-28 00:03,,BLK-SF-0727,10,
EQ-01,Idle,2026-07-28 00:03,2026-07-28 00:40,,,,
EQ-01,Running,2026-07-28 00:40,2026-07-28 04:30,,BLK-SF-0727,10,
EQ-05,Setup,2026-07-27 08:00,2026-07-27 08:53,,,,
EQ-05,Running,2026-07-27 08:53,2026-07-27 11:40,,BLK-SF-0727,10,
EQ-05,Idle,2026-07-27 11:40,2026-07-27 14:20,,,,
EQ-05,Running,2026-07-27 14:20,2026-07-27 15:31,,BLK-SF-0727,10,
EQ-05,Idle,2026-07-27 15:31,2026-07-27 17:00,,,,
EQ-02,Setup,2026-07-27 08:15,2026-07-27 08:29,,,,
EQ-02,Running,2026-07-27 08:29,2026-07-27 12:08,,BLK-FG-0727,10,
EQ-02,Idle,2026-07-27 12:08,2026-07-27 13:09,,,,
EQ-02,Running,2026-07-27 13:09,2026-07-27 16:30,,BLK-FG-0727,10,
EQ-03,Idle,2026-07-27 08:00,2026-07-27 10:10,,,,
EQ-03,Running,2026-07-27 10:10,2026-07-27 11:50,,BLK-FG-0727,20,
EQ-03,Idle,2026-07-27 11:50,2026-07-27 13:07,,,,
EQ-03,Running,2026-07-27 13:07,2026-07-27 15:58,,BLK-FG-0727,20,
EQ-03,Idle,2026-07-27 15:58,2026-07-27 17:00,,,,
EQ-04,Setup,2026-07-27 14:45,2026-07-27 14:54,,,,
EQ-04,Running,2026-07-27 14:54,2026-07-27 17:00,,BLK-FG-0727,30,
EQ-01,Setup,2026-07-28 08:00,2026-07-28 08:24,,,,
EQ-01,Running,2026-07-28 08:24,2026-07-28 12:07,,BLK-SF-0727,10,
EQ-01,Idle,2026-07-28 12:07,2026-07-28 12:59,,,,
EQ-01,Running,2026-07-28 12:59,2026-07-28 16:45,,BLK-SF-0727,10,
EQ-01,Setup,2026-07-28 20:00,2026-07-28 20:22,,,,
EQ-01,Running,2026-07-28 20:22,2026-07-29 00:03,,BLK-SF-0727,10,
EQ-01,Idle,2026-07-29 00:03,2026-07-29 00:51,,,,
EQ-01,Running,2026-07-29 00:51,2026-07-29 04:30,,BLK-SF-0727,10,
EQ-05,Setup,2026-07-28 08:00,2026-07-28 08:53,,,,
EQ-05,Running,2026-07-28 08:53,2026-07-28 11:29,,BLK-SF-0727,10,
EQ-05,Idle,2026-07-28 11:29,2026-07-28 14:26,,,,
EQ-05,Running,2026-07-28 14:26,2026-07-28 15:25,,BLK-SF-0727,10,
EQ-05,Idle,2026-07-28 15:25,2026-07-28 17:00,,,,
EQ-02,Setup,2026-07-28 08:15,2026-07-28 08:24,,,,
EQ-02,Running,2026-07-28 08:24,2026-07-28 12:00,,BLK-FG-0727,10,
EQ-02,Idle,2026-07-28 12:00,2026-07-28 13:02,,,,
EQ-02,Running,2026-07-28 13:02,2026-07-28 16:30,,BLK-FG-0727,10,
EQ-03,Idle,2026-07-28 08:00,2026-07-28 09:58,,,,
EQ-03,Running,2026-07-28 09:58,2026-07-28 11:58,,BLK-FG-0727,20,
EQ-03,Idle,2026-07-28 11:58,2026-07-28 13:02,,,,
EQ-03,Running,2026-07-28 13:02,2026-07-28 15:52,,BLK-FG-0727,20,
EQ-03,Idle,2026-07-28 15:52,2026-07-28 17:00,,,,
EQ-04,Setup,2026-07-28 14:45,2026-07-28 14:58,,,,
EQ-04,Running,2026-07-28 14:58,2026-07-28 17:00,,BLK-FG-0727,30,
EQ-01,Setup,2026-07-29 08:00,2026-07-29 08:31,,,,
EQ-01,Running,2026-07-29 08:31,2026-07-29 12:02,,BLK-SF-0727,10,
EQ-01,Idle,2026-07-29 12:02,2026-07-29 12:58,,,,
EQ-01,Running,2026-07-29 12:58,2026-07-29 16:45,,BLK-SF-0727,10,
EQ-01,Setup,2026-07-29 20:00,2026-07-29 20:28,,,,
EQ-01,Running,2026-07-29 20:28,2026-07-30 00:08,,BLK-SF-0727,10,
EQ-01,Idle,2026-07-30 00:08,2026-07-30 00:47,,,,
EQ-01,Running,2026-07-30 00:47,2026-07-30 04:30,,BLK-SF-0727,10,
EQ-05,Setup,2026-07-29 08:00,2026-07-29 08:47,,,,
EQ-05,Running,2026-07-29 08:47,2026-07-29 11:20,,BLK-SF-0727,10,
EQ-05,Idle,2026-07-29 11:20,2026-07-29 14:24,,,,
EQ-05,Running,2026-07-29 14:24,2026-07-29 15:25,,BLK-SF-0727,10,
EQ-05,Idle,2026-07-29 15:25,2026-07-29 17:00,,,,
EQ-02,Setup,2026-07-29 08:15,2026-07-29 08:21,,,,
EQ-02,Running,2026-07-29 08:21,2026-07-29 11:54,,BLK-FG-0727,10,
EQ-02,Idle,2026-07-29 11:54,2026-07-29 13:07,,,,
EQ-02,Running,2026-07-29 13:07,2026-07-29 16:30,,BLK-FG-0727,10,
EQ-03,Idle,2026-07-29 08:00,2026-07-29 10:02,,,,
EQ-03,Running,2026-07-29 10:02,2026-07-29 12:10,,BLK-FG-0727,20,
EQ-03,Idle,2026-07-29 12:10,2026-07-29 13:09,,,,
EQ-03,Running,2026-07-29 13:09,2026-07-29 15:56,,BLK-FG-0727,20,
EQ-03,Idle,2026-07-29 15:56,2026-07-29 17:00,,,,
EQ-04,Setup,2026-07-29 14:45,2026-07-29 15:07,,,,
EQ-04,Running,2026-07-29 15:07,2026-07-29 17:00,,BLK-FG-0727,30,
EQ-01,Setup,2026-07-30 08:00,2026-07-30 08:26,,,,
EQ-01,Running,2026-07-30 08:26,2026-07-30 11:55,,BLK-SF-0727,10,
EQ-01,Idle,2026-07-30 11:55,2026-07-30 13:05,,,,
EQ-01,Running,2026-07-30 13:05,2026-07-30 16:45,,BLK-SF-0727,10,
EQ-01,Setup,2026-07-30 20:00,2026-07-30 20:23,,,,
EQ-01,Running,2026-07-30 20:23,2026-07-30 23:57,,BLK-SF-0727,10,
EQ-01,Idle,2026-07-30 23:57,2026-07-31 00:41,,,,
EQ-01,Running,2026-07-31 00:41,2026-07-31 04:30,,BLK-SF-0727,10,
EQ-05,Setup,2026-07-30 08:00,2026-07-30 08:45,,,,
EQ-05,Running,2026-07-30 08:45,2026-07-30 11:32,,BLK-SF-0727,10,
EQ-05,Idle,2026-07-30 11:32,2026-07-30 14:38,,,,
EQ-05,Running,2026-07-30 14:38,2026-07-30 15:31,,BLK-SF-0727,10,
EQ-05,Idle,2026-07-30 15:31,2026-07-30 17:00,,,,
EQ-02,Setup,2026-07-30 08:15,2026-07-30 08:39,,,,
EQ-02,Running,2026-07-30 08:39,2026-07-30 11:59,,BLK-FG-0727,10,
EQ-02,Idle,2026-07-30 11:59,2026-07-30 12:54,,,,
EQ-02,Running,2026-07-30 12:54,2026-07-30 16:30,,BLK-FG-0727,10,
EQ-03,Idle,2026-07-30 08:00,2026-07-30 10:07,,,,
EQ-03,Running,2026-07-30 10:07,2026-07-30 11:58,,BLK-FG-0727,20,
EQ-03,Idle,2026-07-30 11:58,2026-07-30 12:56,,,,
EQ-03,Running,2026-07-30 12:56,2026-07-30 16:01,,BLK-FG-0727,20,
EQ-03,Idle,2026-07-30 16:01,2026-07-30 17:00,,,,
EQ-04,Setup,2026-07-30 14:45,2026-07-30 15:02,,,,
EQ-04,Running,2026-07-30 15:02,2026-07-30 17:00,,BLK-FG-0727,30,
EQ-01,Setup,2026-07-31 08:00,2026-07-31 08:29,,,,
EQ-01,Running,2026-07-31 08:29,2026-07-31 11:55,,BLK-SF-0727,10,
EQ-01,Idle,2026-07-31 11:55,2026-07-31 13:05,,,,
EQ-01,Running,2026-07-31 13:05,2026-07-31 16:45,,BLK-SF-0727,10,
EQ-01,Setup,2026-07-31 20:00,2026-07-31 20:10,,,,
EQ-01,Running,2026-07-31 20:10,2026-08-01 00:04,,BLK-SF-0727,10,
EQ-01,Idle,2026-08-01 00:04,2026-08-01 00:38,,,,
EQ-01,Running,2026-08-01 00:38,2026-08-01 04:30,,BLK-SF-0727,10,
EQ-05,Setup,2026-07-31 08:00,2026-07-31 08:54,,,,
EQ-05,Running,2026-07-31 08:54,2026-07-31 11:23,,BLK-SF-0727,10,
EQ-05,Idle,2026-07-31 11:23,2026-07-31 14:35,,,,
EQ-05,Running,2026-07-31 14:35,2026-07-31 15:39,,BLK-SF-0727,10,
EQ-05,Idle,2026-07-31 15:39,2026-07-31 17:00,,,,
EQ-02,Setup,2026-07-31 08:15,2026-07-31 08:23,,,,
EQ-02,Running,2026-07-31 08:23,2026-07-31 12:05,,BLK-FG-0727,10,
EQ-02,Idle,2026-07-31 12:05,2026-07-31 12:51,,,,
EQ-02,Running,2026-07-31 12:51,2026-07-31 16:30,,BLK-FG-0727,10,
EQ-03,Idle,2026-07-31 08:00,2026-07-31 10:07,,,,
EQ-03,Running,2026-07-31 10:07,2026-07-31 11:56,,BLK-FG-0727,20,
EQ-03,Idle,2026-07-31 11:56,2026-07-31 13:02,,,,
EQ-03,Running,2026-07-31 13:02,2026-07-31 16:03,,BLK-FG-0727,20,
EQ-03,Idle,2026-07-31 16:03,2026-07-31 17:00,,,,
EQ-04,Setup,2026-07-31 14:45,2026-07-31 15:05,,,,
EQ-04,Running,2026-07-31 15:05,2026-07-31 17:00,,BLK-FG-0727,30,
EQ-01,Setup,2026-08-03 08:00,2026-08-03 08:23,,,,
EQ-01,Running,2026-08-03 08:23,2026-08-03 11:52,,BLK-SF-0803,10,
EQ-01,Idle,2026-08-03 11:52,2026-08-03 13:08,,,,
EQ-01,Running,2026-08-03 13:08,2026-08-03 14:28,,BLK-SF-0803,10,
EQ-01,Stopped,2026-08-03 14:28,2026-08-03 15:23,材料待ち,,,
EQ-01,Running,2026-08-03 15:23,2026-08-03 16:45,,BLK-SF-0803,10,
EQ-01,Setup,2026-08-03 20:00,2026-08-03 20:19,,,,
EQ-01,Running,2026-08-03 20:19,2026-08-04 00:05,,BLK-SF-0803,10,
EQ-01,Idle,2026-08-04 00:05,2026-08-04 00:45,,,,
EQ-01,Running,2026-08-04 00:45,2026-08-04 04:30,,BLK-SF-0803,10,
EQ-05,Setup,2026-08-03 08:00,2026-08-03 08:36,,,,
EQ-05,Running,2026-08-03 08:36,2026-08-03 11:21,,BLK-SF-0803,10,
EQ-05,Idle,2026-08-03 11:21,2026-08-03 14:29,,,,
EQ-05,Running,2026-08-03 14:29,2026-08-03 15:40,,BLK-SF-0803,10,
EQ-05,Idle,2026-08-03 15:40,2026-08-03 17:00,,,,
EQ-02,Setup,2026-08-03 08:15,2026-08-03 08:20,,,,
EQ-02,Running,2026-08-03 08:20,2026-08-03 11:57,,BLK-FG-0803,10,
EQ-02,Idle,2026-08-03 11:57,2026-08-03 12:51,,,,
EQ-02,Running,2026-08-03 12:51,2026-08-03 16:30,,BLK-FG-0803,10,
EQ-03,Idle,2026-08-03 08:00,2026-08-03 09:56,,,,
EQ-03,Running,2026-08-03 09:56,2026-08-03 12:09,,BLK-FG-0803,20,
EQ-03,Idle,2026-08-03 12:09,2026-08-03 12:51,,,,
EQ-03,Running,2026-08-03 12:51,2026-08-03 16:04,,BLK-FG-0803,20,
EQ-03,Idle,2026-08-03 16:04,2026-08-03 17:00,,,,
EQ-04,Setup,2026-08-03 14:45,2026-08-03 15:04,,,,
EQ-04,Running,2026-08-03 15:04,2026-08-03 17:00,,BLK-FG-0803,30,
EQ-01,Setup,2026-08-04 08:00,2026-08-04 08:31,,,,
EQ-01,Running,2026-08-04 08:31,2026-08-04 11:59,,BLK-SF-0803,10,
EQ-01,Idle,2026-08-04 11:59,2026-08-04 13:09,,,,
EQ-01,Running,2026-08-04 13:09,2026-08-04 16:45,,BLK-SF-0803,10,
EQ-01,Setup,2026-08-04 20:00,2026-08-04 20:29,,,,
EQ-01,Running,2026-08-04 20:29,2026-08-04 23:54,,BLK-SF-0803,10,
EQ-01,Idle,2026-08-04 23:54,2026-08-05 00:40,,,,
EQ-01,Running,2026-08-05 00:40,2026-08-05 04:30,,BLK-SF-0803,10,
EQ-05,Setup,2026-08-04 08:00,2026-08-04 08:42,,,,
EQ-05,Running,2026-08-04 08:42,2026-08-04 11:23,,BLK-SF-0803,10,
EQ-05,Idle,2026-08-04 11:23,2026-08-04 14:28,,,,
EQ-05,Running,2026-08-04 14:28,2026-08-04 15:31,,BLK-SF-0803,10,
EQ-05,Idle,2026-08-04 15:31,2026-08-04 17:00,,,,
EQ-02,Setup,2026-08-04 08:15,2026-08-04 08:25,,,,
EQ-02,Running,2026-08-04 08:25,2026-08-04 12:01,,BLK-FG-0803,10,
EQ-02,Idle,2026-08-04 12:01,2026-08-04 12:54,,,,
EQ-02,Running,2026-08-04 12:54,2026-08-04 16:30,,BLK-FG-0803,10,
EQ-03,Idle,2026-08-04 08:00,2026-08-04 09:52,,,,
EQ-03,Running,2026-08-04 09:52,2026-08-04 11:57,,BLK-FG-0803,20,
EQ-03,Idle,2026-08-04 11:57,2026-08-04 13:07,,,,
EQ-03,Running,2026-08-04 13:07,2026-08-04 16:01,,BLK-FG-0803,20,
EQ-03,Idle,2026-08-04 16:01,2026-08-04 17:00,,,,
EQ-04,Setup,2026-08-04 14:45,2026-08-04 14:55,,,,
EQ-04,Running,2026-08-04 14:55,2026-08-04 17:00,,BLK-FG-0803,30,
EQ-01,Setup,2026-08-05 08:00,2026-08-05 08:29,,,,
EQ-01,Running,2026-08-05 08:29,2026-08-05 12:02,,BLK-SF-0803,10,
EQ-01,Idle,2026-08-05 12:02,2026-08-05 12:50,,,,
EQ-01,Running,2026-08-05 12:50,2026-08-05 16:45,,BLK-SF-0803,10,
EQ-01,Setup,2026-08-05 20:00,2026-08-05 20:26,,,,
EQ-01,Running,2026-08-05 20:26,2026-08-05 23:56,,BLK-SF-0803,10,
EQ-01,Idle,2026-08-05 23:56,2026-08-06 00:53,,,,
EQ-01,Running,2026-08-06 00:53,2026-08-06 04:30,,BLK-SF-0803,10,
EQ-05,Setup,2026-08-05 08:00,2026-08-05 08:46,,,,
EQ-05,Running,2026-08-05 08:46,2026-08-05 11:33,,BLK-SF-0803,10,
EQ-05,Idle,2026-08-05 11:33,2026-08-05 14:31,,,,
EQ-05,Running,2026-08-05 14:31,2026-08-05 15:34,,BLK-SF-0803,10,
EQ-05,Idle,2026-08-05 15:34,2026-08-05 17:00,,,,
EQ-02,Setup,2026-08-05 08:15,2026-08-05 08:37,,,,
EQ-02,Running,2026-08-05 08:37,2026-08-05 11:59,,BLK-FG-0803,10,
EQ-02,Idle,2026-08-05 11:59,2026-08-05 12:51,,,,
EQ-02,Running,2026-08-05 12:51,2026-08-05 16:30,,BLK-FG-0803,10,
EQ-03,Idle,2026-08-05 08:00,2026-08-05 10:02,,,,
EQ-03,Running,2026-08-05 10:02,2026-08-05 11:55,,BLK-FG-0803,20,
EQ-03,Idle,2026-08-05 11:55,2026-08-05 12:58,,,,
EQ-03,Running,2026-08-05 12:58,2026-08-05 16:06,,BLK-FG-0803,20,
EQ-03,Idle,2026-08-05 16:06,2026-08-05 17:00,,,,
EQ-04,Setup,2026-08-05 14:45,2026-08-05 14:50,,,,
